,tweet_id,timestamp,rating_numerator,rating_denominator,name,favorite_count,retweet_count,stage
66,879415818425184262,2017-06-26 19:07:24+00:00,13,10,Duddles,92749,37388,
67,879376492567855104,2017-06-26 16:31:08+00:00,12,10,Jack,14827,2643,
68,879130579576475649,2017-06-26 00:13:58+00:00,14,10,Emmy,0,5733,
69,879050749262655488,2017-06-25 18:56:45+00:00,11,10,Steven,19774,3950,
70,879008229531029506,2017-06-25 16:07:47+00:00,13,10,Beau,16768,2240,
71,878776093423087618,2017-06-25 00:45:22+00:00,13,10,Snoopy,17099,3428,puppo
72,878604707211726852,2017-06-24 13:24:20+00:00,13,10,None,26412,5916,
73,878404777348136964,2017-06-24 00:09:53+00:00,13,10,Shadow,0,1073,
74,878316110768087041,2017-06-23 18:17:33+00:00,11,10,Terrance,0,5518,
75,878281511006478336,2017-06-23 16:00:04+00:00,13,10,Shadow,6767,1073,
76,878057613040115712,2017-06-23 01:10:23+00:00,14,10,Emmy,37093,5733,
77,877736472329191424,2017-06-22 03:54:17+00:00,13,10,Aja,69090,15780,
78,877611172832227328,2017-06-21 19:36:23+00:00,14,10,None,0,70,pupper
79,877556246731214848,2017-06-21 15:58:08+00:00,12,10,Penny,19869,3164,
80,877316821321428993,2017-06-21 00:06:44+00:00,13,10,Dante,24099,4336,
81,877201837425926144,2017-06-20 16:29:50+00:00,12,10,Nelly,23820,4622,
82,876838120628539392,2017-06-19 16:24:33+00:00,12,10,Ginger,18191,2799,pupper
83,876537666061221889,2017-06-18 20:30:39+00:00,14,10,None,21041,3966,
84,876484053909872640,2017-06-18 16:57:37+00:00,13,10,Benedict,16544,1997,
85,876120275196170240,2017-06-17 16:52:05+00:00,13,10,Venti,24658,3896,
86,875747767867523072,2017-06-16 16:11:53+00:00,13,10,Goose,22075,3576,
87,875144289856114688,2017-06-15 00:13:52+00:00,13,10,Nugget,19394,4146,
88,875097192612077568,2017-06-14 21:06:43+00:00,13,10,None,24212,5106,
89,875021211251597312,2017-06-14 16:04:48+00:00,12,10,None,22506,3964,
90,874680097055178752,2017-06-13 17:29:20+00:00,12,10,Cash,24557,3913,
91,874434818259525634,2017-06-13 01:14:41+00:00,12,10,Coco,0,12190,
92,874296783580663808,2017-06-12 16:06:11+00:00,13,10,Jed,22927,3480,pupper
93,874057562936811520,2017-06-12 00:15:36+00:00,12,10,None,20087,3374,
94,874012996292530176,2017-06-11 21:18:31+00:00,13,10,Sebastian,30071,8580,puppo
96,873580283840344065,2017-06-10 16:39:04+00:00,13,10,None,21340,3339,
97,873337748698140672,2017-06-10 00:35:19+00:00,12,10,Sierra,0,1330,pupper
98,873213775632977920,2017-06-09 16:22:42+00:00,12,10,Sierra,6311,1330,pupper
99,872967104147763200,2017-06-09 00:02:31+00:00,12,10,None,24021,4555,doggo
100,872820683541237760,2017-06-08 14:20:41+00:00,13,10,None,13041,3163,
102,872620804844003328,2017-06-08 01:06:27+00:00,13,10,Monkey,18297,3062,
103,872486979161796608,2017-06-07 16:14:40+00:00,12,10,None,36041,7709,
105,872122724285648897,2017-06-06 16:07:15+00:00,12,10,Kody,30192,6819,
106,871879754684805121,2017-06-06 00:01:46+00:00,13,10,Lassie,33035,9234,
107,871762521631449091,2017-06-05 16:15:56+00:00,12,10,Rover,17858,2965,pupper
108,871515927908634625,2017-06-04 23:56:03+00:00,12,10,Napolean,17869,2933,doggo
109,871166179821445120,2017-06-04 00:46:17+00:00,12,10,Dawn,0,4890,
110,871102520638267392,2017-06-03 20:33:19+00:00,14,10,None,18522,4666,doggo
111,871032628920680449,2017-06-03 15:55:36+00:00,13,10,Boomer,20139,3218,
112,870804317367881728,2017-06-03 00:48:22+00:00,11,10,None,29763,5276,
113,870726314365509632,2017-06-02 19:38:25+00:00,10,10,None,105,3,
114,870656317836468226,2017-06-02 15:00:16+00:00,13,10,Cody,10880,2200,
115,870374049280663552,2017-06-01 20:18:38+00:00,13,10,Zoey,73852,22719,
116,870308999962521604,2017-06-01 16:00:09+00:00,13,10,Rumble,19457,3544,
117,870063196459192321,2017-05-31 23:43:25+00:00,14,10,Clifford,32379,7064,
119,869772420881756160,2017-05-31 04:27:59+00:00,13,10,Dewey,37942,8684,
120,869702957897576449,2017-05-30 23:51:58+00:00,13,10,Stanley,25023,5378,
121,869596645499047938,2017-05-30 16:49:31+00:00,12,10,Scout,14173,2632,doggo
122,869227993411051520,2017-05-29 16:24:37+00:00,13,10,Gizmo,18114,3194,
123,868880397819494401,2017-05-28 17:23:24+00:00,14,10,Walter,57850,12244,
124,868639477480148993,2017-05-28 01:26:04+00:00,12,10,Cooper,0,1749,
125,868622495443632128,2017-05-28 00:18:35+00:00,13,10,None,23599,4461,
126,868552278524837888,2017-05-27 19:39:34+00:00,12,10,Cooper,8953,1749,
127,867900495410671616,2017-05-26 00:29:37+00:00,12,10,None,21561,3565,
